"Defense_Subtype","AMR_Type","Cooccurrence_Count","Alpha_MLE","P_value","Cooccurrence_Type"
"Hok/Sok","catB3",437,1.7286712178669,0,"Positive"
"Hok/Sok","aac(6')-Ib-cr",516,1.75513528367923,0,"Positive"
"Hok/Sok","aac(3)-IVa",194,1.96576935533154,0,"Positive"
"Hok/Sok","aph(4)-Ia",191,1.93044841596142,0,"Positive"
"Hok/Sok","aph(3')-Ia",696,2.33667493353822,0,"Positive"
"Hok/Sok","aadA22",122,3.01937073281313,0,"Positive"
"Hok/Sok","dfrA5",44,2.07972920852475,0,"Positive"
"Hok/Sok","aadA16",104,1.59199726284481,0,"Positive"
"Hok/Sok","dfrA1",62,1.04281730420146,0,"Positive"
"Hok/Sok","ere(A)",72,2.60155616911666,0,"Positive"
"Hok/Sok","aac(6')-IIc",115,3.77056416436087,0,"Positive"
"Hok/Sok","aac(3)-IIg",64,3.86935190510188,0,"Positive"
"Hok/Sok","qnrA",92,2.36398022245462,0,"Positive"
"Hok/Sok","dfrA16",26,2.22013057905209,0,"Positive"
"Hok/Sok","mcr-3",32,2.17732171382805,0,"Positive"
"Hok/Sok","mcr-8",22,2.79458278587603,0,"Positive"
"Hok/Sok","dfrA7",31,3.1390022070555,0,"Positive"
"Hok/Sok","dfrA8",22,3.9986583998865,0,"Positive"
"Hhe","blaTEM",44,1.54744366404042,0,"Positive"
"Hhe","aac(6')-Ib",23,2.27359141415639,0,"Positive"
"Hhe","catA1",17,2.52931577830816,0,"Positive"
"RM type I","blaNDM",79,1.04588268262352,0,"Positive"
"RM type I","ble",65,0.926933407833444,0,"Negative"
"RM type I","sul1",330,1.03630787301632,0,"Positive"
"RM type I","msr(E)",58,1.19709900441781,0,"Positive"
"RM type I","mph(E)",57,1.18155186810795,0,"Positive"
"RM type I","aph(6)-Id",230,0.85262780834061,0,"Negative"
"RM type I","aph(3'')-Ib",230,0.876285747742657,0,"Negative"
"RM type I","sul2",231,0.817691761642625,0,"Negative"
"RM type I","blaKPC",164,1.49026332236406,0,"Positive"
"RM type I","tet(A)",203,0.784132250321316,0,"Negative"
"RM type I","blaTEM",403,1.20233341372457,0,"Positive"
"RM type I","blaCTX-M",199,0.773252074171693,0,"Negative"
"RM type I","blaOXA",173,0.800912259896,0,"Negative"
"RM type I","aadA2",166,1.11523900496784,0,"Positive"
"RM type I","arr",53,1.2028859220907,0,"Positive"
"RM type I","aac(3)-IId",130,1.33801992338794,0,"Positive"
"RM type I","catB",33,2.53289988626734,0,"Positive"
"RM type I","mph(A)",252,1.48999234798623,0,"Positive"
"RM type I","dfrA17",127,1.8579753211592,0,"Positive"
"RM type I","aadA5",126,1.87188372384473,0,"Positive"
"RM type I","aac(6')-Ib",82,0.936050696182402,0,"Negative"
"RM type I","dfrA12",137,1.31452541807898,0,"Positive"
"RM type I","catA1",57,1.17685979014013,0,"Positive"
"RM type I","tet(B)",68,1.19491728553796,0,"Positive"
"RM type I","catB3",113,1.10502127314984,0,"Positive"
"RM type I","aac(6')-Ib-cr",133,1.11806843761475,0,"Positive"
"RM type I","aph(3')-Ia",117,0.943885606639709,0,"Negative"
"RM type I","rmtF",32,3.16455941860794,0,"Positive"
"RM type I","aph(3')-VI",28,2.0247018589738,0,"Positive"
"Shango","tet(D)",25,2.08236593417071,0,"Positive"
"Shango","sul1",254,2.53983715768956,0,"Positive"
"Shango","tet(A)",103,1.50958894373236,0,"Positive"
"Shango","blaCTX-M",78,1.17864319762898,0,"Positive"
"Shango","fosA",24,1.9252491643634,0,"Positive"
"Shango","aadA2",150,2.58050636304952,0,"Positive"
"Shango","floR",53,1.4149630047162,0,"Positive"
"Shango","mph(A)",142,2.35548032440567,0,"Positive"
"Shango","aadA1",77,1.82065431755582,0,"Positive"
"Shango","dfrA14",71,2.63540096112906,0,"Positive"
"Shango","dfrA12",145,2.96104637083164,0,"Positive"
"Shango","catA1",172,4.28475629118168,0,"Positive"
"Shango","aac(3)-IVa",55,2.78284468059438,0,"Positive"
"Shango","aph(4)-Ia",54,2.75667116309011,0,"Positive"
"Shango","aph(3')-Ia",179,3.1062050859491,0,"Positive"
"Shango","dfrA1",20,2.22899076171182,0,"Positive"
"RM type III","msr(E)",44,2.60080061609463,0,"Positive"
"RM type III","mph(E)",44,2.60535421693268,0,"Positive"
"RM type III","sul2",55,0.966639500937185,0,"Negative"
"RM type III","floR",54,1.75840385709016,0,"Positive"
"RM type III","aac(3)-IId",32,1.47010952035162,0,"Positive"
"RM type III","blaIMP",14,2.20020912006585,0,"Positive"
"RM type III","arr-3",32,1.90978092542169,0,"Positive"
"RM type III","aph(3')-VIa",29,3.5734419220852,0,"Positive"
"RM type III","tet(X3)",11,3.83125511980032,0,"Positive"
"RM type III","ant(6)",14,5.08283387085046,0,"Positive"
"RM type III","aac(6')-IIa",11,4.05440236358677,0,"Positive"
"CBASS type I","blaNDM",52,1.39931926497906,0,"Positive"
"CBASS type I","ble",51,1.47895569777597,0,"Positive"
"CBASS type I","sul1",302,1.94275138334365,0,"Positive"
"CBASS type I","aph(6)-Id",213,1.69975264506309,0,"Positive"
"CBASS type I","aph(3'')-Ib",212,1.71673052207884,0,"Positive"
"CBASS type I","sul2",228,1.75467953603035,0,"Positive"
"CBASS type I","tet(A)",231,1.89660140556047,0,"Positive"
"CBASS type I","blaTEM",266,1.65052141156555,0,"Positive"
"CBASS type I","blaCTX-M",218,1.82779345881034,0,"Positive"
"CBASS type I","erm(B)",44,1.09994975669071,0,"Positive"
"CBASS type I","fosA",40,1.93432665446108,0,"Positive"
